genus,abundance,maturity,species
Unassigned Ruminococcaceae,NA,Immature,Gibbons
Unassigned Ruminococcaceae,0.001271093,Mature,Gibbons
UCG-003,NA,Immature,Gibbons
UCG-003,0.001255102,Mature,Gibbons
Lachnospiraceae_AC2044_group,NA,Immature,Gibbons
Lachnospiraceae_AC2044_group,0.001240434,Mature,Gibbons
Unassigned Selenomonadaceae,NA,Immature,Gibbons
Unassigned Selenomonadaceae,0.001007952,Mature,Gibbons
Lachnospiraceae_UCG-003,NA,Immature,Gibbons
Lachnospiraceae_UCG-003,9.71613e-4,Mature,Gibbons
[Eubacterium]_eligens_group,NA,Immature,Gibbons
[Eubacterium]_eligens_group,9.19834e-4,Mature,Gibbons
UCG-002,NA,Immature,Gibbons
UCG-002,7.92896e-4,Mature,Gibbons
Collinsella,NA,Immature,Gibbons
Collinsella,7.31026e-4,Mature,Gibbons
Unassigned Bacilli,NA,Immature,Gibbons
Unassigned Bacilli,6.80681e-4,Mature,Gibbons
Helicobacter,NA,Immature,Gibbons
Helicobacter,6.44673e-4,Mature,Gibbons
Sarcina,NA,Immature,Gibbons
Sarcina,6.25262e-4,Mature,Gibbons
Butyrivibrio,NA,Immature,Gibbons
Butyrivibrio,5.87821e-4,Mature,Gibbons
Monoglobus,NA,Immature,Gibbons
Monoglobus,5.85174e-4,Mature,Gibbons
[Eubacterium]_hallii_group,NA,Immature,Gibbons
[Eubacterium]_hallii_group,5.34608e-4,Mature,Gibbons
Unassigned Oscillospiraceae,NA,Immature,Gibbons
Unassigned Oscillospiraceae,5.14812e-4,Mature,Gibbons
Catenisphaera,NA,Immature,Gibbons
Catenisphaera,5.13488e-4,Mature,Gibbons
Blautia,NA,Immature,Gibbons
Blautia,4.98655e-4,Mature,Gibbons
Lachnospiraceae_UCG-008,NA,Immature,Gibbons
Lachnospiraceae_UCG-008,4.90604e-4,Mature,Gibbons
Lachnospiraceae_UCG-004,NA,Immature,Gibbons
Lachnospiraceae_UCG-004,4.5614e-4,Mature,Gibbons
[Eubacterium]_siraeum_group,NA,Immature,Gibbons
[Eubacterium]_siraeum_group,4.4649e-4,Mature,Gibbons
[Eubacterium]_xylanophilum_group,NA,Immature,Gibbons
[Eubacterium]_xylanophilum_group,4.34965e-4,Mature,Gibbons
Izemoplasmatales,NA,Immature,Gibbons
Izemoplasmatales,4.30719e-4,Mature,Gibbons
Unassigned Erysipelatoclostridiaceae,NA,Immature,Gibbons
Unassigned Erysipelatoclostridiaceae,4.26804e-4,Mature,Gibbons
Slackia,NA,Immature,Gibbons
Slackia,4.23661e-4,Mature,Gibbons
Oscillospira,NA,Immature,Gibbons
Oscillospira,4.19139e-4,Mature,Gibbons
Unassigned Atopobiaceae,NA,Immature,Gibbons
Unassigned Atopobiaceae,4.09324e-4,Mature,Gibbons
Oscillibacter,NA,Immature,Gibbons
Oscillibacter,4.09269e-4,Mature,Gibbons
Family_XIII_AD3011_group,NA,Immature,Gibbons
Family_XIII_AD3011_group,3.84234e-4,Mature,Gibbons
Christensenellaceae_R-7_group,NA,Immature,Gibbons
Christensenellaceae_R-7_group,3.73316e-4,Mature,Gibbons
Incertae_Sedis,NA,Immature,Gibbons
Incertae_Sedis,3.71165e-4,Mature,Gibbons
Sphaerochaeta,NA,Immature,Gibbons
Sphaerochaeta,3.65761e-4,Mature,Gibbons
Clostridium_sensu_stricto_1,NA,Immature,Gibbons
Clostridium_sensu_stricto_1,3.45414e-4,Mature,Gibbons
Lachnospiraceae_FCS020_group,NA,Immature,Gibbons
Lachnospiraceae_FCS020_group,3.31959e-4,Mature,Gibbons
Anaerosporobacter,NA,Immature,Gibbons
Anaerosporobacter,2.62038e-4,Mature,Gibbons
[Eubacterium]_ventriosum_group,NA,Immature,Gibbons
[Eubacterium]_ventriosum_group,2.3987e-4,Mature,Gibbons
Microcystis_PCC-7914,NA,Immature,Gibbons
